Date,Open,High,Low,Close,Volume
07/01/19,2613.85,2613.85,2537.3,2558.65,542415
08/01/19,2561,2586.85,2551,2570.5,689498
09/01/19,2580.9,2610.9,2580.9,2603.1,464336
10/01/19,2598.1,2610,2583.15,2600.4,390414
11/01/19,2610.8,2610.8,2580,2588.15,316787
14/01/19,2585.35,2605,2555,2578.8,394478
15/01/19,2585,2604,2581.35,2594.8,357577
16/01/19,2580,2627.7,2575.3,2616.95,946148
17/01/19,2620,2628.8,2600,2619.15,649802
18/01/19,2605,2629.35,2594.5,2596.8,536273
21/01/19,2605,2642,2581.8,2599.8,595064
22/01/19,2599.1,2645,2589.95,2640.3,776066
23/01/19,2639.85,2660,2630,2646.75,754526
24/01/19,2642.05,2674.7,2642.05,2668.45,611565
25/01/19,2670.5,2691,2645.5,2672.4,609282
28/01/19,2671.9,2671.9,2597.05,2624.75,684994
29/01/19,2616,2684,2603,2666.45,867696
30/01/19,2655.05,2680,2637.45,2665.4,657014
31/01/19,2665,2728.55,2651,2720.8,1231518
01/02/19,2717.7,2819,2715.15,2791.25,1450995
04/02/19,2807.9,2878,2715.25,2735.2,2149582
05/02/19,2775.2,2859.85,2773,2821.45,1653331
06/02/19,2816,2816,2761,2789.7,881795
07/02/19,2791,2835,2791,2821.8,561804
08/02/19,2818,2818,2751.65,2769.7,714193
11/02/19,2660.1,2707.95,2559.35,2615.35,1895462
12/02/19,2619,2676.45,2584,2652.5,1309324
13/02/19,2665,2681.75,2632,2648.7,676457
14/02/19,2648.7,2674.95,2616,2667.25,597409
15/02/19,2660,2660,1872.95,2563.35,6756271
18/02/19,2650,2689.65,2545.05,2565.55,2687581
19/02/19,2583.95,2610,2505.1,2536.9,2269798
20/02/19,2574.9,2584,2508.55,2525.15,1559722
21/02/19,2550,2606,2519.85,2586.3,1310397
22/02/19,2584.75,2650,2555.7,2639.5,1378159
25/02/19,2640.25,2694.95,2622.8,2666.9,1275515
26/02/19,2653.9,2659.9,2628.95,2647.8,1013114
27/02/19,2664.5,2683,2630.05,2646.9,793098
28/02/19,2669,2669,2615.25,2631.65,669759
01/03/19,2638,2657.1,2580.05,2646,885795
05/03/19,2635,2668.8,2604.6,2654.1,646711
06/03/19,2660.6,2708.5,2656.65,2693.65,852395
07/03/19,2690,2725.9,2668.9,2680.75,916759
08/03/19,2668,2685.95,2606.5,2615.05,684806
11/03/19,2628,2656,2611.05,2626.15,1113712
12/03/19,2647,2676,2638,2666.85,544868
13/03/19,2663,2710,2644.6,2655.85,704078
14/03/19,2655.85,2670.9,2616,2647.9,483712
15/03/19,2655.5,2693.75,2640.95,2658.9,1436054
18/03/19,2658.4,2674.3,2643.15,2669.45,454563
19/03/19,2670,2717.25,2669.45,2708.7,918056
20/03/19,2709,2760,2709,2751.65,1151949
22/03/19,2779,2779,2738.5,2751.3,685401
25/03/19,2744.9,2798,2726.75,2780.95,1009863
26/03/19,2791,2793.95,2762.5,2782.35,484102
27/03/19,2781.05,2814,2744.1,2765.05,659032
28/03/19,2774.7,2774.7,2708,2717.2,663559
29/03/19,2739.7,2787.95,2733.2,2780.25,578347
01/04/19,2798.95,2822.75,2782,2794.8,791811
02/04/19,2804,2820,2780,2798.75,588391
